rcid,TOTALRAISED,YEARFOUNDED,EMPLOYEES,REVENUE,Bankrupt,Acquired_IPO,DEALSIZE,SeriesA
223979,,2018.0,44.0,,0.0,0.0,,0.0
224306,,2019.0,9.0,,1.0,0.0,,0.0
224323,3.5,2014.0,21.0,,0.0,1.0,3.5,0.0
224342,2.907126,2012.0,2.0,1.423132,0.0,0.0,1.5,0.0
224423,,2004.0,60.0,14.1,0.0,0.0,,0.0
224646,,,,,,,0.10913851,0.0
224680,29.13222,2018.0,34.0,,0.0,0.0,29.13222,1.0
224788,,2011.0,10.0,1.39,0.0,0.0,4.234436,0.0
224801,0.875,2019.0,10.0,,0.0,0.0,0.5,0.0
224825,0.45,2007.0,17.0,0.78,0.0,1.0,0.45,0.0
224847,2.92105,2012.0,22.0,,0.0,1.0,0.96457,0.0
224855,,,,,,,0.67241777,1.0
224882,12.5,2013.0,6.0,,1.0,0.0,7.5,1.0
224939,3.547282,2020.0,13.0,,0.0,0.0,3.497282,0.0
225037,112.485302,2013.0,58.0,3078.766,0.0,1.0,64.98018,1.0
225072,,2012.0,,32.1,0.0,0.0,,0.0
225102,0.75,2017.0,15.0,,0.0,0.0,0.75,0.0
225142,1.23,2017.0,12.0,2.5,0.0,1.0,0.68,0.0
225173,,2012.0,,,1.0,0.0,,0.0
225213,,2006.0,,,0.0,0.0,,0.0
225315,7.17,2017.0,34.0,,0.0,0.0,4.270001,1.0
225321,6.400006,2015.0,50.0,,0.0,0.0,5.0,1.0
225338,,1993.0,,,0.0,1.0,,0.0
225346,4.790345,2008.0,28.0,,0.0,1.0,3.290345,1.0
225364,,2003.0,22.0,4.7,0.0,1.0,,0.0
225376,0.42,2013.0,7.0,,0.0,1.0,0.4,0.0
225383,,2015.0,11.0,,0.0,1.0,,0.0
225459,0.145,2014.0,1.0,,1.0,0.0,0.1,0.0
225485,,2012.0,,,1.0,0.0,,0.0
225533,,,,,,,7000.0,0.0
225543,,2007.0,,,0.0,1.0,,0.0
225558,0.15,2009.0,,,1.0,0.0,0.15,0.0
225614,,2003.0,,2.0,0.0,1.0,1.2,0.0
225633,4.5,,14.0,,0.0,0.0,2.5,0.0
225683,63.4,2016.0,532.0,14.45,0.0,0.0,61.9,1.0
225707,0.885,2021.0,5.0,,0.0,0.0,0.582205,0.0
225829,4.161893,2008.0,,,1.0,0.0,2.5082,1.0
225904,8.0295,2011.0,117.0,,0.0,1.0,3.0795,0.0
226008,10.124996,2017.0,28.0,,0.0,0.0,7.1000000000000005,1.0
226098,1.28,2011.0,63.0,100.0,0.0,1.0,1.28,0.0
226318,6.075188,2013.0,26.0,,0.0,0.0,6.075188,1.0
226448,,2000.0,45.0,62.9,0.0,1.0,,0.0
226463,0.15,2008.0,13.0,,0.0,0.0,0.15,0.0
226476,4.9453380000000005,2015.0,10.0,,0.0,1.0,2.8000000000000003,1.0
226493,,2000.0,,,0.0,1.0,,0.0
226540,4.489397,2020.0,17.0,,0.0,0.0,4.489397,0.0
226555,0.375,2014.0,8.0,,1.0,0.0,0.375,0.0
226688,0.145,2013.0,30.0,,0.0,1.0,0.145,0.0
226763,,2000.0,39.0,5.9,0.0,0.0,,0.0
227090,,2013.0,4.0,,0.0,0.0,,0.0
227167,,2008.0,123.0,,0.0,1.0,,0.0
227224,16.5,2009.0,50.0,,0.0,1.0,9.0,1.0
227233,26.295,2016.0,57.0,12.0,1.0,0.0,25.0,0.0
227249,0.1,2017.0,8.0,,0.0,0.0,0.1,0.0
227278,2.99999,2017.0,4.0,,1.0,0.0,2.99999,0.0
227411,6.853635,2009.0,38.0,,0.0,1.0,3.321233,1.0
227423,,1994.0,6.0,,0.0,1.0,,0.0
227447,28.0726361,2018.0,45.0,,0.0,0.0,28.0526361,1.0
227449,5.086,2009.0,10.0,,0.0,1.0,2.8000000000000003,1.0
227468,,2011.0,,7.4,0.0,1.0,,0.0
227536,0.15,2012.0,,,1.0,0.0,0.15,0.0
227653,2.715,2016.0,24.0,,0.0,0.0,2.2,1.0
227668,5.55,2015.0,23.0,1.5,0.0,1.0,4.0,0.0
227765,2.25,2019.0,16.0,,0.0,0.0,2.0,0.0
227771,1.5,2017.0,37.0,,0.0,0.0,1.5,0.0
227890,8.0,2009.0,36.0,,0.0,1.0,6.0,1.0
227994,0.839998,2015.0,5.0,,1.0,0.0,0.63,0.0
228039,,,,,,,11.0,1.0
228064,0.725,2016.0,7.0,,1.0,0.0,0.725,0.0
228124,0.05,2017.0,5.0,,0.0,1.0,0.05,0.0
228211,0.2,2011.0,31.0,,1.0,0.0,0.2,0.0
228224,58.812757,2006.0,250.0,35.0,0.0,1.0,25.000007,1.0
228596,3.8,2016.0,41.0,,0.0,1.0,67.5,1.0
228684,,2002.0,58.0,,0.0,1.0,,0.0
228895,0.29,2017.0,6.0,0.4931,0.0,1.0,0.17,0.0
228957,2.939505,2015.0,12.0,,0.0,0.0,1.693138,0.0
228990,1.0,2011.0,29.0,,0.0,0.0,1.0,0.0
229014,4.461854,2011.0,11.0,,1.0,0.0,3.70428,0.0
229028,,2001.0,9.0,,0.0,1.0,,0.0
229077,,2001.0,,,1.0,0.0,,0.0
229219,264.000004,2018.0,104.0,1000.0,0.0,0.0,147.500001,1.0
229255,11.599968,2011.0,11.0,,0.0,1.0,11.599968,1.0
229292,19.31749,2015.0,,,0.0,0.0,12.83749,0.0
229332,1.0,2014.0,18.0,,0.0,1.0,7.5,0.0
229527,0.5,2014.0,28.0,,0.0,0.0,0.5,0.0
229619,12.40799,2006.0,,,0.0,0.0,104.0,1.0
229739,1.917257,2020.0,20.0,,0.0,0.0,1.417257,0.0
229878,1.9025,2013.0,5.0,,0.0,0.0,1.85,0.0
229901,,2019.0,14.0,,0.0,0.0,,0.0
230099,,2009.0,310.0,,0.0,0.0,,0.0
230142,3.0,2002.0,,54.5,0.0,1.0,150.0,1.0
230222,13.191212,2014.0,5000.0,,0.0,1.0,10.191212,1.0
230296,140.981386,2006.0,109.0,3.3000000000000003,0.0,1.0,24.999,1.0
230332,,2010.0,,,0.0,1.0,,0.0
230515,47.300002,2019.0,172.0,,0.0,0.0,26.300002,1.0
230599,5.5975,2012.0,18.0,7.0,1.0,0.0,3.8975,0.0
230614,,2018.0,2.0,,1.0,0.0,,0.0
230635,0.385,,13.0,,1.0,0.0,0.15,0.0
230740,4.250001,2011.0,13.0,,0.0,1.0,3.000001,1.0
230749,0.01,2012.0,,,1.0,0.0,0.1275,0.0
230808,56.547573,2003.0,50.0,20.0,0.0,0.0,18.3,1.0
230900,,2015.0,,,1.0,0.0,,0.0
230986,,2003.0,66.0,,0.0,1.0,,0.0
231002,3.31354916,2000.0,,,0.0,1.0,2.21354916,1.0
231075,2.864733,2018.0,5.0,0.5,0.0,1.0,2.864733,0.0
231234,1.925,2012.0,5.0,1.264,0.0,0.0,1.9,0.0
231243,0.06,2016.0,9.0,,0.0,1.0,0.06,0.0
231280,24.706727,2015.0,74.0,2.77,0.0,0.0,20.056727,1.0
231327,,2014.0,11.0,,0.0,1.0,,0.0
231574,0.35968144,2013.0,71.0,,0.0,0.0,0.15,0.0
231614,9.272826,2008.0,56.0,8.5,0.0,0.0,6.999999,1.0
231709,,1994.0,2.0,,0.0,1.0,,0.0
231794,,,,,0.0,0.0,,
231863,,2004.0,69.0,18.5,0.0,1.0,32.7,0.0
231899,1.23,2016.0,,,0.0,1.0,1.23,0.0
231962,,,7.0,0.85,0.0,1.0,14.8,0.0
231973,135.96,2004.0,300.0,8.05,0.0,1.0,300.0,0.0
231982,,2018.0,26.0,,0.0,1.0,,1.0
232033,11.893,2010.0,19.0,,1.0,0.0,9.0,1.0
232073,17.422901,2001.0,250.0,80.8,1.0,1.0,7.750003,1.0
232296,11.20123,2013.0,60.0,,0.0,0.0,11.00623,1.0
232722,,1999.0,105.0,5.326115,0.0,1.0,,0.0
232855,1.765,2008.0,2.0,,1.0,0.0,0.8,0.0
232892,,2019.0,30.0,,0.0,0.0,,0.0
232930,,,,,0.0,1.0,,0.0
233373,,2013.0,48.0,52.4,0.0,1.0,165.5,0.0
233440,1.52,2001.0,201.0,,0.0,1.0,35.0,0.0
233482,0.6,2019.0,9.0,,0.0,0.0,0.6,1.0
233496,10.516,2005.0,15.0,,0.0,1.0,5.355,1.0
233558,0.5,2014.0,,,1.0,0.0,0.5,0.0
233704,,2010.0,48.0,,0.0,0.0,,0.0
233782,,,,,,,,0.0
233931,,2016.0,10.0,,0.0,1.0,11.58,0.0
